2012,2013,2014,2015,2016,2017,2018,2019,2020,Código,Nombre del indicador,Nombre,Fuente,Unidades,Dirección,Observaciones,Datos faltantes,Periodo inicial,Periodo final,Máximo,Mínimo,Máx teórico,Min teórico,Meta PNUD,Meta MML,Periodo meta,Instrumental al territorio,Instrumental a la MML,Instrumental,ODS1,ODS2,ODS meta,Territorio,Abreviatura,control_corrupcion,estado_de_derecho,Meta
0.8944770966418246,0.8987179103445804,0.8985661710802184,0.89727354758254,0.8986011120111101,0.8947913426552554,0.8981475104680144,0.8964112300640011,0.87832,var1,Población en situación de pobreza extrema monetaria,Población en situación de pobreza extrema monetaria,ENAHO - INEI,Porcentaje,-,13,,2007,2020,2.71,0.1602612069274624,0.9,0.1,0.9,,2030,instrumental,instrumental,1,1,,1.1,Lima Metropolitana,pobr_extre,0.4314421111815854,0.3855436118025528,0.9
0.7836676,0.7973538434403643,0.805742280830736,0.8123769813310203,0.8120142448171254,0.7936409596529428,0.7949812764610787,0.7864034635777932,0.68696,var2,Población en situación de pobreza monetaria,Población en situación de pobreza monetaria,ENAHO - INEI,Porcentaje,-,13,,2007,2020,26.63,10.95287733362246,0.9,0.1,0.8128000000000001,,2030,instrumental,instrumental,1,1,,1.2,Lima Metropolitana,pobr_mone,0.4314421111815854,0.3855436118025528,0.8128000000000001
0.8229250456213948,0.8244148539864924,0.823189986260133,0.8330727857758553,0.8329178309338036,0.8354410048872175,0.8302708836563368,0.8295591372168483,0.82736,var4,Población con al menos una necesidad básica insatisfecha,Población con al menos una necesidad básica insatisfecha,ENAHO - INEI,Porcentaje,-,11,,2009,2020,11.946984421411678,8.069874389097803,0.9,0.1,,0.8540800000000001,2030,instrumental,colateral,1,1,,1.2,Provincia de Lima,nece_basic,0.4314421111815854,0.3855436118025528,0.8540800000000001
0.4973030241265012,0.4824378516966326,0.4725333614451622,0.4069581226515018,0.4837731119411945,0.4914106665149794,0.5190759543345945,0.5556616049337759,0.3616,var5,Hogares pobres con al menos un miembro beneficiado de programas alimentarios,Hogares pobres con al menos un miembro beneficiado de programas alimentarios,ENAHO - INEI,Porcentaje,+,11,,2009,2020,56.95770061672199,32.7,0.9,0.1,0.9,,2030,instrumental,instrumental,1,1,2.0,1.2,Provincia de Lima,prog-alime,0.4314421111815854,0.3855436118025528,0.9
0.4168,0.4048,0.4304,0.4184,0.4184,0.4352,0.4352,0.4288,0.42616,var6,Proporción de población de 14 a más años de edad con seguro de pensión,Proporción de población de 14 a más años de edad con seguro de pensión,ODS-INEI,Porcentaje,+,13,,2007,2020,41.9,33.3,0.9,0.1,0.9,,2030,instrumental,instrumental,1,1,,1.3,Provincia de Lima,segu-pens,0.4314421111815854,0.3855436118025528,0.9
0.3681396727841964,0.366613077577694,0.3756159099441191,0.3800784296766625,0.372848775266832,0.3786503498421876,0.3625317337750602,0.3645400901427923,0.37056,var8,Población con acceso a seguro social de salud - EsSalud,Población con acceso a seguro social de salud - EsSalud,ENAHO - INEI,Porcentaje,+,12,,2008,2020,35.00980370958281,27.75955567879448,0.9,0.1,,0.4522400000000001,2030,instrumental,instrumental,1,1,,1.3,Provincia de Lima,segur_socia,0.4314421111815854,0.3855436118025528,0.4522400000000001
0.1898898662842608,0.2307813382546727,0.2559188908192022,0.2896152702198121,0.316973189154036,0.3225355793412878,0.3305929454100615,0.3462027660991368,0.3768,var9,Población afiliada al seguro integral de salud,Población afiliada al seguro integral de salud,ENAHO - INEI,Porcentaje,+,12,,2008,2020,34.6,8.83999300568541,0.9,0.1,,0.3208,2030,instrumental,instrumental,1,1,,1.3,Provincia de Lima,segur_integ,0.4314421111815854,0.3855436118025528,0.3208
0.8253174832473746,0.8296,0.8320000000000001,0.8480000000000001,0.8623999999999999,0.8512000000000001,0.86,0.8656,0.87672,var10,Proporción de la población que vive en hogares con acceso a los servicios básicos,Proporción de la población que vive en hogares con acceso a los servicios básicos,ODS-INEI,Porcentaje,+,6,,2013,2019,95.7,91.2,0.9,0.1,0.9,,2030,instrumental,instrumental,1,1,11.0,1.4,Provincia de Lima,hogar_servi,0.4314421111815854,0.3855436118025528,0.9
0.6432,0.6552,0.6464,0.632,0.6136,0.6256,0.62,0.628,0.64632,var11,Viviendas particulares propias (% del total de viviendas particulares),Viviendas particulares propias (% del total de viviendas particulares),ENAHO - INEI,Porcentaje,+,11,,2009,2020,69.4,64.2,0.9,0.1,,0.6340800000000001,2030,colateral,colateral,0,1,11.0,1.4,Provincia de Lima,vivi_prop,0.4314421111815854,0.3855436118025528,0.6340800000000001
0.7160000000000001,0.7192000000000001,0.7024,0.696,0.6968,0.6952,0.6968,0.6856,0.64944,var12,Viviendas particulares propias con título de propiedad (% respecto del total de viviendas particulares propias),Viviendas particulares propias con título de propiedad (% respecto del total de viviendas particulares propias),ENAHO - INEI,Porcentaje,+,11,,2009,2020,78.5,68.68,0.9,0.1,0.9,,2030,instrumental,colateral,1,1,11.0,1.4,Provincia de Lima,titu_prop,0.4314421111815854,0.3855436118025528,0.9
0.6978813386458518,0.872432924922148,0.8755007683207093,0.7823884575111849,0.6168010661299753,0.1,0.6964018113330704,0.8855310931911827,0.6601254201197331,var13,"Número de personas muertas, desaparecidas y afectadas por desastres","Número de personas muertas, desaparecidas y afectadas por desastres",ODS-INEI,Número,-,11,,2008,2019,73537.0,689.0,0.9,0.1,0.8925044535403946,,2030,instrumental,instrumental,1,1,11.0,1.5,Lima,nume_desa,0.4314421111815854,0.3855436118025528,0.8925044535403946
0.8996054400000001,0.8999024000000001,0.89991632,0.8998980000000001,0.8998332000000001,0.89976392,0.8999277600000001,0.89991096,0.899892780435686,var14,Personas damnificadas por emergencia en LM por 100 mil personas,Personas damnificadas por emergencia en LM por 100 mil personas,"Compendio Estadístico del INDECI 2020. En la preparación, Respuesta y Rehabilitación de la GRD. III Información Estadística de Emergencia y Daños Periodo 2003 - 2019",Tasa,-,16,,2003,2019,0.04932,0.0,0.9,0.1,,0.9,2030,instrumental,instrumental,1,1,11.0,1.5,Lima Metropolitana,pers_damn,0.4314421111815854,0.3855436118025528,0.9
0.89953304,0.89997288,0.89994552,0.8998764,0.89988928,0.89872512,0.8995844000000001,0.89991104,0.8998406716016589,var15,Personas afectadas por emergencia en LM por 100 mil personas,Personas afectadas por emergencia en LM por 100 mil personas,"Compendio Estadístico del INDECI 2020. En la preparación, Respuesta y Rehabilitación de la GRD. III Información Estadística de Emergencia y Daños Periodo 2003 - 2019",Tasa,-,16,,2003,2019,0.15936,0.0,0.9,0.1,,0.9,2030,instrumental,instrumental,1,1,11.0,1.5,Lima Metropolitana,pers_afect,0.4314421111815854,0.3855436118025528,0.9
0.1208,0.1232,0.1272,0.1248,0.124,0.1248,0.124,0.1264,0.156,var16,"Proporción del gasto público de capital destinado a sectores en beneficio de las mujeres, los pobres y los grupos vulnerables (%)","Proporción del gasto público de capital destinado a sectores en beneficio de las mujeres, los pobres y los grupos vulnerables (%)",MEF. INEI,Porcentaje,+,10,,2009,2019,7.0,1.3,0.9,0.1,,0.1432,2030,instrumental,instrumental,1,1,,1.b,Nacional,gasto_vulne,0.4314421111815854,0.3855436118025528,0.1432
0.7208,0.7240000000000001,0.7400000000000001,0.7424000000000001,0.7088,0.6856,0.6888,0.6608,0.6671951186694827,var17,Porcentaje de población con déficit calórico (%),Porcentaje de población con déficit calórico (%),ENAHO - INEI,Porcentaje,-,12,,2007,2019,29.9,15.3,0.9,0.1,0.78,,2030,instrumental,instrumental,1,2,,2.1,Lima Metropolitana,defi_calori,0.4314421111815854,0.3855436118025528,0.78
